ID,Symptoms/Question,Disease Prediction,Recommended Medicines,Advice,clean_question
292,cough worsening at night,Post Nasal Drip,Antihistamines,Elevate head while sleeping,cough worsening at night
293,short breath after long sitting,Poor Lung Circulation,Deep Breathing,Do breathing exercises,short breath after long sitting
294,feeling unable to take deep breath,Anxiety Related Breathing,Relaxation Therapy,Practice breathing techniques,feeling unable to take deep breath
295,persistent cough for weeks,Chronic Bronchitis,Medical Evaluation,Avoid smoking,persistent cough for weeks
296,burning chest sensation while breathing,Airway Inflammation,Anti inflammatory meds,Consult doctor,burning chest sensation while breathing
297,breathing difficulty after smoke exposure,Smoke Inhalation,Medical Evaluation,Get oxygen support if needed,breathing difficulty after smoke exposure
298,chest congestion with rattling sound,Chest Infection,Expectorants,Drink warm fluids,chest congestion with rattling sound
299,short breath during sleep,Sleep Related Breathing Disorder,Medical Evaluation,Sleep study advised,short breath during sleep
300,breathing stops briefly during sleep,Obstructive Sleep Apnea,CPAP Therapy,Weight management helps,breathing stops briefly during sleep
301,lower abdominal pain during periods,Menstrual Cramps,Pain Relievers,Use hot water bag,lower abdominal pain during periods
302,irregular periods,Hormonal Imbalance,Hormone Therapy,Consult gynecologist,irregular periods
303,heavy bleeding during periods,Menorrhagia,Iron Supplements,Medical evaluation required,heavy bleeding during periods
304,missed periods,Pregnancy or Hormonal Issue,Pregnancy Test,Consult doctor,missed periods
305,painful periods every month,Dysmenorrhea,Pain Relievers,Regular exercise helps,painful periods every month
306,white vaginal discharge with itching,Vaginal Infection,Antifungal Tablets,Maintain hygiene,white vaginal discharge with itching
307,pelvic pain after periods,Endometriosis,Medical Evaluation,Consult gynecologist,pelvic pain after periods
308,breast pain before periods,Premenstrual Syndrome,Pain Relievers,Wear supportive bra,breast pain before periods
309,lumps in breast,Breast Lump,Medical Evaluation,Breast exam needed,lumps in breast
310,frequent urination during pregnancy,Pregnancy Symptom,No Medicine,Normal but consult doctor,frequent urination during pregnancy
311,nausea and vomiting in pregnancy,Morning Sickness,Antiemetics,Eat small frequent meals,nausea and vomiting in pregnancy
312,swollen feet in pregnancy,Pregnancy Edema,Leg Elevation,Avoid standing long time,swollen feet in pregnancy
313,lower back pain in pregnancy,Pregnancy Strain,Pain Relievers,Use pregnancy pillow,lower back pain in pregnancy
314,itching in private parts,Vaginal Infection,Antifungal Cream,Keep area dry,itching in private parts
315,pain during intercourse,Dyspareunia,Medical Evaluation,Consult gynecologist,pain during intercourse
316,hot flashes and sweating,Menopause,Hormone Therapy,Wear light clothing,hot flashes and sweating
317,mood swings before periods,PMS,Multivitamins,Regular sleep and exercise,mood swings before periods
318,delay in periods with stress,Stress Related Amenorrhea,Stress Management,Relaxation needed,delay in periods with stress
319,lower abdominal pain with fever,Pelvic Infection,Antibiotics,Seek medical care,lower abdominal pain with fever
320,breast milk leakage when not pregnant,Hormonal Disorder,Medical Evaluation,Hormone tests required,breast milk leakage when not pregnant
321,pain in lower abdomen after urination,Urinary Infection,Antibiotics,Drink plenty of water,pain in lower abdomen after urination
322,spotting between periods,Hormonal Issue,Medical Evaluation,Consult gynecologist,spotting between periods
323,itchy rash under breasts,Skin Fungal Infection,Antifungal Powder,Keep area dry,itchy rash under breasts
324,vaginal dryness,Menopause Related,Moisturizing Gel,Consult doctor,vaginal dryness
325,lower back pain with missed periods,Possible Pregnancy,Medical Evaluation,Pregnancy test advised,lower back pain with missed periods
326,fever in child with cold,Common Viral Infection,Paracetamol,Keep child hydrated,fever in child with cold
327,child not eating properly,Poor Appetite,Multivitamins,Offer small frequent meals,child not eating properly
328,frequent crying with ear pulling,Ear Infection,Antibiotics,Consult pediatrician,frequent crying with ear pulling
329,diarrhea in toddler,Stomach Infection,ORS,Prevent dehydration,diarrhea in toddler
330,child coughing at night,Childhood Asthma,Inhaler,Avoid dust exposure,child coughing at night
331,skin rashes in baby,Allergic Rash,Calamine Lotion,Keep skin clean and dry,skin rashes in baby
332,vomiting after feeding,Indigestion in Baby,Antiemetic,Feed slowly,vomiting after feeding
333,child tired and pale,Anemia in Child,Iron Supplements,Improve diet,child tired and pale
334,runny nose and sneezing in child,Common Cold,Cetirizine,Warm fluids help,runny nose and sneezing in child
335,high fever with chills in child,Bacterial Infection,Antibiotics,Seek medical care,high fever with chills in child
336,itching in scalp of child,Head Lice,Anti lice Lotion,Wash bedding in hot water,itching in scalp of child
337,red eyes with discharge in child,Conjunctivitis,Antibiotic Eye Drops,Avoid touching eyes,red eyes with discharge in child
338,stomach pain in school child,Indigestion,Antacids,Avoid junk food,stomach pain in school child
339,child wheezing while breathing,Bronchiolitis,Medical Evaluation,Hospital care may be needed,child wheezing while breathing
340,frequent urination in child,Urinary Infection,Antibiotics,Encourage fluids,frequent urination in child
341,delayed growth in child,Growth Delay,Nutritional Supplements,Consult pediatrician,delayed growth in child
342,child scratching skin a lot,Allergic Dermatitis,Antihistamines,Identify allergens,child scratching skin a lot
343,child complaining of headache,Dehydration or Infection,Paracetamol,Give fluids and rest,child complaining of headache
344,child fainting suddenly,Low Blood Sugar,Emergency Care,Immediate medical attention,child fainting suddenly
345,child having seizures,Fever Seizure,Emergency Care,Rush to hospital,child having seizures
346,child not sleeping at night,Sleep Disturbance,No Medicine,Maintain sleep routine,child not sleeping at night
347,child vomiting with fever,Gastroenteritis,ORS,Prevent dehydration,child vomiting with fever
348,swollen glands in child neck,Infection,Antibiotics,Consult pediatrician,swollen glands in child neck
349,child complaining of leg pain,Growing Pains,Pain Relievers,Gentle massage helps,child complaining of leg pain
350,child refusing to walk,Limb Injury,Medical Evaluation,Check for injury,child refusing to walk
351,fall with severe leg pain,Bone Fracture,Emergency Care,Do not move affected area,fall with severe leg pain
352,twisted ankle while walking,Ankle Sprain,Pain Relievers,Apply ice and rest,twisted ankle while walking
353,cut on finger with bleeding,Minor Cut,Antiseptic,Clean and bandage wound,cut on finger with bleeding
354,head hit with dizziness,Head Injury,Medical Evaluation,Go to hospital,head hit with dizziness
355,road accident with body pain,Trauma Injury,Emergency Care,Call ambulance immediately,road accident with body pain
356,deep wound with heavy bleeding,Severe Bleeding,Emergency Care,Apply pressure and rush to hospital,deep wound with heavy bleeding
357,burn injury from hot water,Scald Burn,Burn Ointment,Cool with running water,burn injury from hot water
358,electric shock injury,Electric Injury,Emergency Care,Seek immediate medical help,electric shock injury
359,fall from height,Major Trauma,Emergency Care,Do not move patient,fall from height
360,knife cut with deep wound,Laceration,Stitches Required,Go to emergency room,knife cut with deep wound
361,object stuck in eye,Eye Injury,Emergency Care,Do not rub eye,object stuck in eye
362,hit on chest with pain,Chest Injury,Medical Evaluation,Check for internal injury,hit on chest with pain
363,twisted knee with swelling,Knee Injury,Pain Relievers,Apply ice and rest,twisted knee with swelling
364,hit on head and vomiting,Concussion,Emergency Care,Immediate medical attention,hit on head and vomiting
365,chemical spill on skin,Chemical Burn,Emergency Care,Rinse with plenty of water,chemical spill on skin
366,dog bite wound,Animal Bite,Anti Rabies Vaccine,Wash and go to hospital,dog bite wound
367,insect sting with swelling,Allergic Reaction,Antihistamines,Seek help if severe,insect sting with swelling
368,broken tooth after fall,Dental Trauma,Emergency Dental Care,Visit dentist immediately,broken tooth after fall
369,foreign object in ear,Foreign Body Ear,Medical Removal,Do not insert tools,foreign object in ear
370,slipped and back pain,Spinal Injury,Medical Evaluation,Avoid movement,slipped and back pain
371,glass cut on foot,Deep Cut,Antiseptic and Stitches,Clean and consult doctor,glass cut on foot
372,hit by heavy object,Crush Injury,Emergency Care,Rush to hospital,hit by heavy object
373,smoke inhalation in fire,Smoke Inhalation,Emergency Oxygen,Seek urgent medical care,smoke inhalation in fire
374,bleeding from nose after accident,Facial Injury,Medical Evaluation,Apply pressure and go to hospital,bleeding from nose after accident
375,child swallowed object,Foreign Body Ingestion,Emergency Care,Immediate hospital visit,child swallowed object
376,stomach pain after meals,Indigestion,Antacids,Eat slowly and avoid spicy food,stomach pain after meals
377,burning pain in stomach,Acidity,Omeprazole,Avoid oily and fried food,burning pain in stomach
378,stomach pain with vomiting,Gastritis,Antiemetics,Take light food and rest,stomach pain with vomiting
379,loose motions after eating outside,Food Poisoning,ORS,Stay hydrated,loose motions after eating outside
380,stomach cramps with gas,Gas Trouble,Simethicone,Avoid carbonated drinks,stomach cramps with gas
381,feeling full quickly while eating,Indigestion,Probiotics,Eat small frequent meals,feeling full quickly while eating
382,upper stomach pain with nausea,Peptic Ulcer,Antacids,Avoid alcohol and spicy food,upper stomach pain with nausea
383,stomach pain with black stools,Gastrointestinal Bleeding,Emergency Care,Go to hospital immediately,stomach pain with black stools
384,stomach bloating after every meal,Bloating,Probiotics,Avoid junk food,stomach bloating after every meal
385,pain on empty stomach,Acid Ulcer,Antacids,Do not skip meals,pain on empty stomach
386,stomach pain with fever,Stomach Infection,Antibiotics,Consult doctor,stomach pain with fever
387,frequent loose stools,Irritable Bowel Syndrome,Antispasmodics,Avoid trigger foods,frequent loose stools
388,stomach pain relieved after passing gas,Gas Pain,Simethicone,Walk after meals,stomach pain relieved after passing gas
389,abdominal pain with constipation,Constipation,Isabgol,Increase fiber intake,abdominal pain with constipation
390,feeling nauseous in morning,Acidity or Pregnancy,Medical Evaluation,Consult doctor if persists,feeling nauseous in morning
391,stomach pain after dairy food,Lactose Intolerance,Lactase Tablets,Avoid milk products,stomach pain after dairy food
392,frequent stomach upset,Weak Digestion,Probiotics,Improve diet habits,frequent stomach upset
393,stomach pain with vomiting blood,Severe Gastric Bleed,Emergency Care,Immediate hospital visit,stomach pain with vomiting blood
394,acid coming into mouth,GERD,Omeprazole,Do not lie down after meals,acid coming into mouth
395,stomach pain with weight loss,Serious Digestive Disorder,Medical Evaluation,Consult gastroenterologist,stomach pain with weight loss
396,frequent stomach noises,Gas Trouble,Simethicone,Avoid carbonated drinks,frequent stomach noises
397,stomach tightness after stress,Stress Induced Gastritis,Antacids,Manage stress,stomach tightness after stress
398,stomach pain on right side,Appendicitis,Emergency Surgery,Go to hospital immediately,stomach pain on right side
399,stomach pain with yellow eyes,Liver Disorder,Medical Evaluation,Liver function test needed,stomach pain with yellow eyes
400,abdominal swelling with pain,Fluid in Abdomen,Medical Evaluation,Consult doctor,abdominal swelling with pain
401,stomach pain after spicy food,Acid Reflux,Antacids,Avoid spicy meals,stomach pain after spicy food
402,frequent heartburn,GERD,Proton Pump Inhibitors,Avoid late night eating,frequent heartburn
403,stomach pain with diarrhea and fever,Intestinal Infection,Antibiotics,Seek medical care,stomach pain with diarrhea and fever
404,stomach pain after alcohol intake,Gastritis,Antacids,Avoid alcohol,stomach pain after alcohol intake
405,sharp stomach pain suddenly,Acute Abdominal Pain,Emergency Evaluation,Immediate hospital visit,sharp stomach pain suddenly
406,frequent dizziness and imbalance,Vertigo,Antivertigo Medicines,Avoid sudden head movement,frequent dizziness and imbalance
407,numbness in one side of body,Stroke Warning,Emergency Care,Go to hospital immediately,numbness in one side of body
408,frequent headaches with nausea,Migraine,Sumatriptan,Avoid bright lights,frequent headaches with nausea
409,tingling in hands and feet,Nerve Damage,Vitamin B Complex,Control blood sugar,tingling in hands and feet
410,loss of balance while walking,Nervous System Disorder,Medical Evaluation,Neurology check required,loss of balance while walking
411,hand tremors while resting,Tremor Disorder,Medical Evaluation,Avoid caffeine,hand tremors while resting
412,confusion and memory loss,Neurological Disorder,Medical Evaluation,Brain tests needed,confusion and memory loss
413,weakness in arms and legs,Neuromuscular Disorder,Medical Evaluation,Physiotherapy may help,weakness in arms and legs
414,face drooping on one side,Stroke,Emergency Care,Immediate hospital visit,face drooping on one side
415,slurred speech suddenly,Stroke,Emergency Care,Call ambulance,slurred speech suddenly
416,frequent fainting episodes,Syncope,Medical Evaluation,Heart and brain tests,frequent fainting episodes
417,severe headache with vomiting,Brain Infection,Emergency Care,Urgent treatment required,severe headache with vomiting
418,pain behind eyes with headache,Sinus or Migraine,Pain Relievers,Steam inhalation helps,pain behind eyes with headache
419,loss of coordination,Brain Disorder,Medical Evaluation,MRI may be needed,loss of coordination
420,jerking movements of body,Seizure Disorder,Antiepileptic Drugs,Consult neurologist,jerking movements of body
421,tingling in face,Nerve Irritation,Vitamin B Complex,Avoid stress,tingling in face
422,difficulty speaking clearly,Speech Disorder,Medical Evaluation,Speech therapy advised,difficulty speaking clearly
423,blurred vision with headache,Brain Pressure,Medical Evaluation,Immediate scan required,blurred vision with headache
424,weak grip strength,Nerve Compression,Medical Evaluation,Physiotherapy needed,weak grip strength
425,frequent forgetfulness,Memory Disorder,Medical Evaluation,Cognitive tests required,frequent forgetfulness
426,pain shooting down leg,Sciatica,Pain Relievers,Avoid heavy lifting,pain shooting down leg
427,neck pain with arm numbness,Cervical Nerve Compression,Pain Relievers,Neck exercises helpful,neck pain with arm numbness
428,loss of consciousness briefly,Blackout,Medical Evaluation,Heart and brain check,loss of consciousness briefly
429,facial muscle twitching,Nerve Spasm,Vitamin Supplements,Reduce stress,facial muscle twitching
430,head injury with confusion,Concussion,Emergency Care,Hospital observation needed,head injury with confusion
431,burning while urinating,Urinary Tract Infection,Antibiotics,Drink plenty of water,burning while urinating
432,blood in urine,Hematuria,Medical Evaluation,Urgent urine tests,blood in urine
433,frequent urination at night,Kidney or Diabetes Issue,Medical Evaluation,Check sugar and kidneys,frequent urination at night
434,lower back pain near kidneys,Kidney Stone,Pain Relievers,Drink more fluids,lower back pain near kidneys
435,cloudy urine with odor,Urinary Infection,Antibiotics,Complete medication,cloudy urine with odor
436,swelling around eyes,Fluid Retention,Kidney Disorder Treatment,Consult nephrologist,swelling around eyes
437,foamy urine,Protein in Urine,Medical Evaluation,Kidney function test,foamy urine
438,inability to pass urine,Urinary Retention,Emergency Care,Catheter may be needed,inability to pass urine
439,pain while urinating with fever,Severe UTI,Antibiotics,Hospital treatment,pain while urinating with fever
440,frequent urge to urinate,Overactive Bladder,Bladder Relaxants,Avoid caffeine,frequent urge to urinate
441,sharp back pain radiating to groin,Kidney Stone,Pain Relievers,Imaging needed,sharp back pain radiating to groin
442,reduced urine output,Kidney Failure,Emergency Care,Immediate medical help,reduced urine output
443,swelling in feet and face,Nephrotic Syndrome,Medical Evaluation,Kidney specialist needed,swelling in feet and face
444,itching with kidney problem,Chronic Kidney Disease,Medical Management,Dialysis if severe,itching with kidney problem
445,urine leakage,Urinary Incontinence,Bladder Training,Pelvic exercises help,urine leakage
446,burning and itching in urine passage,Urethritis,Antibiotics,Maintain hygiene,burning and itching in urine passage
447,back pain with blood in urine,Kidney Stone,Medical Evaluation,Ultrasound needed,back pain with blood in urine
448,frequent urinary infections,Recurrent UTI,Preventive Antibiotics,Drink more water,frequent urinary infections
449,difficulty starting urine,Prostate Enlargement,Alpha Blockers,Urology consult,difficulty starting urine
450,smelly urine,Urinary Infection,Antibiotics,Hydration important,smelly urine
451,abdominal pain with urine issues,Urinary Tract Disorder,Medical Evaluation,Imaging advised,abdominal pain with urine issues
452,pain after urination,Bladder Infection,Antibiotics,Complete course,pain after urination
453,urine retention after surgery,Post Surgical Complication,Catheterization,Doctor monitoring,urine retention after surgery
454,fever with kidney pain,Kidney Infection,Antibiotics,Hospital care required,fever with kidney pain
455,swelling with high bp,Kidney Related Hypertension,Antihypertensives,Kidney tests needed,swelling with high bp
456,constant worrying thoughts,Anxiety Disorder,Anti anxiety meds,Practice relaxation,constant worrying thoughts
457,feeling sad most of the day,Depression,Antidepressants,Counseling helpful,feeling sad most of the day
458,panic attacks with breathlessness,Panic Disorder,Anti anxiety meds,Breathing exercises,panic attacks with breathlessness
459,lack of interest in activities,Depression,Medical Evaluation,Psychiatric consult,lack of interest in activities
460,trouble sleeping every night,Chronic Insomnia,Sleep Aids,Maintain sleep routine,trouble sleeping every night
461,feeling hopeless and tired,Depressive Disorder,Antidepressants,Therapy advised,feeling hopeless and tired
462,irritability and anger issues,Stress Disorder,Stress Management,Counseling helpful,irritability and anger issues
463,fear in social situations,Social Anxiety,Anti anxiety meds,Gradual exposure therapy,fear in social situations
464,poor concentration and memory,Stress Related Cognitive Issue,Medical Evaluation,Reduce workload,poor concentration and memory
465,overthinking and restlessness,Generalized Anxiety Disorder,Anti anxiety meds,Meditation helps,overthinking and restlessness
466,feeling worthless,Depression,Emergency Evaluation,Seek mental health support,feeling worthless
467,sudden mood changes,Bipolar Disorder,Medical Evaluation,Psychiatric treatment,sudden mood changes
468,nightmares and fear,PTSD,Trauma Therapy,Counseling required,nightmares and fear
469,loss of appetite due to stress,Stress Disorder,Multivitamins,Regular meals needed,loss of appetite due to stress
470,excessive fear of illness,Health Anxiety,Behavioral Therapy,Limit symptom searching,excessive fear of illness
471,feeling detached from reality,Dissociative Disorder,Medical Evaluation,Psychiatric consult,feeling detached from reality
472,frequent crying spells,Emotional Distress,Counseling,Talk to support person,frequent crying spells
473,unable to relax,Chronic Stress,Stress Reduction,Yoga and therapy,unable to relax
474,panic feeling in crowded places,Agoraphobia,Anti anxiety meds,Gradual exposure,panic feeling in crowded places
475,loss of motivation,Depression,Medical Evaluation,Professional counseling,loss of motivation
476,thinking about self harm,Mental Health Crisis,Emergency Care,Immediate psychiatric help,thinking about self harm
477,constant fear and tension,Anxiety Disorder,Anti anxiety meds,Therapy recommended,constant fear and tension
478,feeling empty inside,Emotional Disorder,Medical Evaluation,Psychotherapy needed,feeling empty inside
479,mental exhaustion,Burnout Syndrome,Rest and Counseling,Reduce workload,mental exhaustion
480,loss of sleep due to stress,Stress Induced Insomnia,Sleep Therapy,Relaxation techniques,loss of sleep due to stress
481,knee pain while walking,Osteoarthritis,Pain Relievers,Weight control helps,knee pain while walking
482,shoulder pain while lifting arm,Rotator Cuff Injury,Pain Relievers,Physiotherapy needed,shoulder pain while lifting arm
483,stiff joints in morning,Arthritis,Pain Relievers,Regular exercises help,stiff joints in morning
484,back pain after lifting weight,Muscle Strain,Pain Relievers,Avoid heavy work,back pain after lifting weight
485,neck pain after long phone use,Text Neck Syndrome,Pain Relievers,Posture correction,neck pain after long phone use
486,joint swelling and redness,Joint Inflammation,Anti inflammatory meds,Rest joint,joint swelling and redness
487,hip pain while walking,Hip Arthritis,Pain Relievers,Physiotherapy helps,hip pain while walking
488,cracking sounds in joints,Joint Degeneration,Medical Evaluation,Exercise advised,cracking sounds in joints
489,heel pain in morning,Plantar Fasciitis,Pain Relievers,Foot stretches helpful,heel pain in morning
490,painful wrist movement,Tendonitis,Pain Relievers,Rest wrist,painful wrist movement
491,back stiffness in young adult,Ankylosing Spondylitis,Medical Evaluation,Physiotherapy required,back stiffness in young adult
492,joint pain after fever,Post Viral Arthritis,Pain Relievers,Rest and fluids,joint pain after fever
493,knee swelling after fall,Joint Injury,Medical Evaluation,X-ray may be needed,knee swelling after fall
494,shoulder stiffness,Frozen Shoulder,Physiotherapy,Regular exercises needed,shoulder stiffness
495,pain in fingers joints,Rheumatoid Arthritis,Anti inflammatory meds,Consult rheumatologist,pain in fingers joints
496,back pain with tingling legs,Spinal Nerve Compression,Medical Evaluation,MRI advised,back pain with tingling legs
497,joint pain in cold weather,Arthritis Flare,Pain Relievers,Keep joints warm,joint pain in cold weather
498,foot pain while standing long,Foot Strain,Pain Relievers,Use cushioned footwear,foot pain while standing long
499,swollen painful joints,Gout Attack,Pain Relievers,Avoid high protein food,swollen painful joints
500,limited joint movement,Joint Contracture,Physiotherapy,Regular stretching,limited joint movement
501,pain near collar bone,Muscle Injury,Pain Relievers,Rest affected area,pain near collar bone
502,elbow pain while gripping,Tennis Elbow,Pain Relievers,Avoid repetitive strain,elbow pain while gripping
503,back pain with posture issue,Postural Back Pain,Physiotherapy,Correct sitting posture,back pain with posture issue
504,joint pain with fever,Infectious Arthritis,Emergency Care,Immediate treatment needed,joint pain with fever
505,hip pain after long sitting,Hip Joint Stiffness,Exercises,Frequent movement helps,hip pain after long sitting
