ID,Symptoms/Question,Disease Prediction,Recommended Medicines,Advice
349,child complaining of leg pain,Growing Pains,Pain Relievers,"Gentle massage helps"
350,child refusing to walk,Limb Injury,Medical Evaluation,"Check for injury"
351,fall with severe leg pain,Bone Fracture,Emergency Care,"Do not move affected area"
352,twisted ankle while walking,Ankle Sprain,Pain Relievers,"Apply ice and rest"
353,cut on finger with bleeding,Minor Cut,Antiseptic,"Clean and bandage wound"
354,head hit with dizziness,Head Injury,Medical Evaluation,"Go to hospital"
355,road accident with body pain,Trauma Injury,Emergency Care,"Call ambulance immediately"
356,deep wound with heavy bleeding,Severe Bleeding,Emergency Care,"Apply pressure and rush to hospital"
357,burn injury from hot water,Scald Burn,Burn Ointment,"Cool with running water"
358,electric shock injury,Electric Injury,Emergency Care,"Seek immediate medical help"
359,fall from height,Major Trauma,Emergency Care,"Do not move patient"
360,knife cut with deep wound,Laceration,Stitches Required,"Go to emergency room"
361,object stuck in eye,Eye Injury,Emergency Care,"Do not rub eye"
362,hit on chest with pain,Chest Injury,Medical Evaluation,"Check for internal injury"
363,twisted knee with swelling,Knee Injury,Pain Relievers,"Apply ice and rest"
364,hit on head and vomiting,Concussion,Emergency Care,"Immediate medical attention"
365,chemical spill on skin,Chemical Burn,Emergency Care,"Rinse with plenty of water"
366,dog bite wound,Animal Bite,Anti Rabies Vaccine,"Wash and go to hospital"
367,insect sting with swelling,Allergic Reaction,Antihistamines,"Seek help if severe"
368,broken tooth after fall,Dental Trauma,Emergency Dental Care,"Visit dentist immediately"
369,foreign object in ear,Foreign Body Ear,Medical Removal,"Do not insert tools"
370,slipped and back pain,Spinal Injury,Medical Evaluation,"Avoid movement"
371,glass cut on foot,Deep Cut,Antiseptic and Stitches,"Clean and consult doctor"
372,hit by heavy object,Crush Injury,Emergency Care,"Rush to hospital"
373,smoke inhalation in fire,Smoke Inhalation,Emergency Oxygen,"Seek urgent medical care"
374,bleeding from nose after accident,Facial Injury,Medical Evaluation,"Apply pressure and go to hospital"
375,child swallowed object,Foreign Body Ingestion,Emergency Care,"Immediate hospital visit"
376,stomach pain after meals,Indigestion,Antacids,"Eat slowly and avoid spicy food"
377,burning pain in stomach,Acidity,Omeprazole,"Avoid oily and fried food"
378,stomach pain with vomiting,Gastritis,Antiemetics,"Take light food and rest"
379,loose motions after eating outside,Food Poisoning,ORS,"Stay hydrated"
380,stomach cramps with gas,Gas Trouble,Simethicone,"Avoid carbonated drinks"
381,feeling full quickly while eating,Indigestion,Probiotics,"Eat small frequent meals"
382,upper stomach pain with nausea,Peptic Ulcer,Antacids,"Avoid alcohol and spicy food"
383,stomach pain with black stools,Gastrointestinal Bleeding,Emergency Care,"Go to hospital immediately"
384,stomach bloating after every meal,Bloating,Probiotics,"Avoid junk food"
385,pain on empty stomach,Acid Ulcer,Antacids,"Do not skip meals"
386,stomach pain with fever,Stomach Infection,Antibiotics,"Consult doctor"
387,frequent loose stools,Irritable Bowel Syndrome,Antispasmodics,"Avoid trigger foods"
388,stomach pain relieved after passing gas,Gas Pain,Simethicone,"Walk after meals"
389,abdominal pain with constipation,Constipation,Isabgol,"Increase fiber intake"
390,feeling nauseous in morning,Acidity or Pregnancy,Medical Evaluation,"Consult doctor if persists"
391,stomach pain after dairy food,Lactose Intolerance,Lactase Tablets,"Avoid milk products"
392,frequent stomach upset,Weak Digestion,Probiotics,"Improve diet habits"
393,stomach pain with vomiting blood,Severe Gastric Bleed,Emergency Care,"Immediate hospital visit"
394,acid coming into mouth,GERD,Omeprazole,"Do not lie down after meals"
395,stomach pain with weight loss,Serious Digestive Disorder,Medical Evaluation,"Consult gastroenterologist"
396,frequent stomach noises,Gas Trouble,Simethicone,"Avoid carbonated drinks"
397,stomach tightness after stress,Stress Induced Gastritis,Antacids,"Manage stress"
398,stomach pain on right side,Appendicitis,Emergency Surgery,"Go to hospital immediately"
399,stomach pain with yellow eyes,Liver Disorder,Medical Evaluation,"Liver function test needed"
400,abdominal swelling with pain,Fluid in Abdomen,Medical Evaluation,"Consult doctor"
401,stomach pain after spicy food,Acid Reflux,Antacids,"Avoid spicy meals"
402,frequent heartburn,GERD,Proton Pump Inhibitors,"Avoid late night eating"
403,stomach pain with diarrhea and fever,Intestinal Infection,Antibiotics,"Seek medical care"
404,stomach pain after alcohol intake,Gastritis,Antacids,"Avoid alcohol"
405,sharp stomach pain suddenly,Acute Abdominal Pain,Emergency Evaluation,"Immediate hospital visit"
406,frequent dizziness and imbalance,Vertigo,Antivertigo Medicines,"Avoid sudden head movement"
407,numbness in one side of body,Stroke Warning,Emergency Care,"Go to hospital immediately"
408,frequent headaches with nausea,Migraine,Sumatriptan,"Avoid bright lights"
409,tingling in hands and feet,Nerve Damage,Vitamin B Complex,"Control blood sugar"
410,loss of balance while walking,Nervous System Disorder,Medical Evaluation,"Neurology check required"
411,hand tremors while resting,Tremor Disorder,Medical Evaluation,"Avoid caffeine"
412,confusion and memory loss,Neurological Disorder,Medical Evaluation,"Brain tests needed"
413,weakness in arms and legs,Neuromuscular Disorder,Medical Evaluation,"Physiotherapy may help"
414,face drooping on one side,Stroke,Emergency Care,"Immediate hospital visit"
415,slurred speech suddenly,Stroke,Emergency Care,"Call ambulance"
416,frequent fainting episodes,Syncope,Medical Evaluation,"Heart and brain tests"
417,severe headache with vomiting,Brain Infection,Emergency Care,"Urgent treatment required"
418,pain behind eyes with headache,Sinus or Migraine,Pain Relievers,"Steam inhalation helps"
419,loss of coordination,Brain Disorder,Medical Evaluation,"MRI may be needed"
420,jerking movements of body,Seizure Disorder,Antiepileptic Drugs,"Consult neurologist"
421,tingling in face,Nerve Irritation,Vitamin B Complex,"Avoid stress"
422,difficulty speaking clearly,Speech Disorder,Medical Evaluation,"Speech therapy advised"
423,blurred vision with headache,Brain Pressure,Medical Evaluation,"Immediate scan required"
424,weak grip strength,Nerve Compression,Medical Evaluation,"Physiotherapy needed"
425,frequent forgetfulness,Memory Disorder,Medical Evaluation,"Cognitive tests required"
426,pain shooting down leg,Sciatica,Pain Relievers,"Avoid heavy lifting"
427,neck pain with arm numbness,Cervical Nerve Compression,Pain Relievers,"Neck exercises helpful"
428,loss of consciousness briefly,Blackout,Medical Evaluation,"Heart and brain check"
429,facial muscle twitching,Nerve Spasm,Vitamin Supplements,"Reduce stress"
430,head injury with confusion,Concussion,Emergency Care,"Hospital observation needed"
431,burning while urinating,Urinary Tract Infection,Antibiotics,"Drink plenty of water"
432,blood in urine,Hematuria,Medical Evaluation,"Urgent urine tests"
433,frequent urination at night,Kidney or Diabetes Issue,Medical Evaluation,"Check sugar and kidneys"
434,lower back pain near kidneys,Kidney Stone,Pain Relievers,"Drink more fluids"
435,cloudy urine with odor,Urinary Infection,Antibiotics,"Complete medication"
436,swelling around eyes,Fluid Retention,Kidney Disorder Treatment,"Consult nephrologist"
437,foamy urine,Protein in Urine,Medical Evaluation,"Kidney function test"
438,inability to pass urine,Urinary Retention,Emergency Care,"Catheter may be needed"
439,pain while urinating with fever,Severe UTI,Antibiotics,"Hospital treatment"
440,frequent urge to urinate,Overactive Bladder,Bladder Relaxants,"Avoid caffeine"
441,sharp back pain radiating to groin,Kidney Stone,Pain Relievers,"Imaging needed"
442,reduced urine output,Kidney Failure,Emergency Care,"Immediate medical help"
443,swelling in feet and face,Nephrotic Syndrome,Medical Evaluation,"Kidney specialist needed"
444,itching with kidney problem,Chronic Kidney Disease,Medical Management,"Dialysis if severe"
445,urine leakage,Urinary Incontinence,Bladder Training,"Pelvic exercises help"
446,burning and itching in urine passage,Urethritis,Antibiotics,"Maintain hygiene"
447,back pain with blood in urine,Kidney Stone,Medical Evaluation,"Ultrasound needed"
448,frequent urinary infections,Recurrent UTI,Preventive Antibiotics,"Drink more water"
449,difficulty starting urine,Prostate Enlargement,Alpha Blockers,"Urology consult"
450,smelly urine,Urinary Infection,Antibiotics,"Hydration important"
451,abdominal pain with urine issues,Urinary Tract Disorder,Medical Evaluation,"Imaging advised"
452,pain after urination,Bladder Infection,Antibiotics,"Complete course"
453,urine retention after surgery,Post Surgical Complication,Catheterization,"Doctor monitoring"
454,fever with kidney pain,Kidney Infection,Antibiotics,"Hospital care required"
455,swelling with high bp,Kidney Related Hypertension,Antihypertensives,"Kidney tests needed"
456,constant worrying thoughts,Anxiety Disorder,Anti anxiety meds,"Practice relaxation"
457,feeling sad most of the day,Depression,Antidepressants,"Counseling helpful"
458,panic attacks with breathlessness,Panic Disorder,Anti anxiety meds,"Breathing exercises"
459,lack of interest in activities,Depression,Medical Evaluation,"Psychiatric consult"
460,trouble sleeping every night,Chronic Insomnia,Sleep Aids,"Maintain sleep routine"
461,feeling hopeless and tired,Depressive Disorder,Antidepressants,"Therapy advised"
462,irritability and anger issues,Stress Disorder,Stress Management,"Counseling helpful"
463,fear in social situations,Social Anxiety,Anti anxiety meds,"Gradual exposure therapy"
464,poor concentration and memory,Stress Related Cognitive Issue,Medical Evaluation,"Reduce workload"
465,overthinking and restlessness,Generalized Anxiety Disorder,Anti anxiety meds,"Meditation helps"
466,feeling worthless,Depression,Emergency Evaluation,"Seek mental health support"
467,sudden mood changes,Bipolar Disorder,Medical Evaluation,"Psychiatric treatment"
468,nightmares and fear,PTSD,Trauma Therapy,"Counseling required"
469,loss of appetite due to stress,Stress Disorder,Multivitamins,"Regular meals needed"
470,excessive fear of illness,Health Anxiety,Behavioral Therapy,"Limit symptom searching"
471,feeling detached from reality,Dissociative Disorder,Medical Evaluation,"Psychiatric consult"
472,frequent crying spells,Emotional Distress,Counseling,"Talk to support person"
473,unable to relax,Chronic Stress,Stress Reduction,"Yoga and therapy"
474,panic feeling in crowded places,Agoraphobia,Anti anxiety meds,"Gradual exposure"
475,loss of motivation,Depression,Medical Evaluation,"Professional counseling"
476,thinking about self harm,Mental Health Crisis,Emergency Care,"Immediate psychiatric help"
477,constant fear and tension,Anxiety Disorder,Anti anxiety meds,"Therapy recommended"
478,feeling empty inside,Emotional Disorder,Medical Evaluation,"Psychotherapy needed"
479,mental exhaustion,Burnout Syndrome,Rest and Counseling,"Reduce workload"
480,loss of sleep due to stress,Stress Induced Insomnia,Sleep Therapy,"Relaxation techniques"
481,knee pain while walking,Osteoarthritis,Pain Relievers,"Weight control helps"
482,shoulder pain while lifting arm,Rotator Cuff Injury,Pain Relievers,"Physiotherapy needed"
483,stiff joints in morning,Arthritis,Pain Relievers,"Regular exercises help"
484,back pain after lifting weight,Muscle Strain,Pain Relievers,"Avoid heavy work"
485,neck pain after long phone use,Text Neck Syndrome,Pain Relievers,"Posture correction"
486,joint swelling and redness,Joint Inflammation,Anti inflammatory meds,"Rest joint"
487,hip pain while walking,Hip Arthritis,Pain Relievers,"Physiotherapy helps"
488,cracking sounds in joints,Joint Degeneration,Medical Evaluation,"Exercise advised"
489,heel pain in morning,Plantar Fasciitis,Pain Relievers,"Foot stretches helpful"
490,painful wrist movement,Tendonitis,Pain Relievers,"Rest wrist"
491,back stiffness in young adult,Ankylosing Spondylitis,Medical Evaluation,"Physiotherapy required"
492,joint pain after fever,Post Viral Arthritis,Pain Relievers,"Rest and fluids"
493,knee swelling after fall,Joint Injury,Medical Evaluation,"X-ray may be needed"
494,shoulder stiffness,Frozen Shoulder,Physiotherapy,"Regular exercises needed"
495,pain in fingers joints,Rheumatoid Arthritis,Anti inflammatory meds,"Consult rheumatologist"
496,back pain with tingling legs,Spinal Nerve Compression,Medical Evaluation,"MRI advised"
497,joint pain in cold weather,Arthritis Flare,Pain Relievers,"Keep joints warm"
498,foot pain while standing long,Foot Strain,Pain Relievers,"Use cushioned footwear"
499,swollen painful joints,Gout Attack,Pain Relievers,"Avoid high protein food"
500,limited joint movement,Joint Contracture,Physiotherapy,"Regular stretching"
501,pain near collar bone,Muscle Injury,Pain Relievers,"Rest affected area"
502,elbow pain while gripping,Tennis Elbow,Pain Relievers,"Avoid repetitive strain"
503,back pain with posture issue,Postural Back Pain,Physiotherapy,"Correct sitting posture"
504,joint pain with fever,Infectious Arthritis,Emergency Care,"Immediate treatment needed"
505,hip pain after long sitting,Hip Joint Stiffness,Exercises,"Frequent movement helps"
